Word,Weight,Classification
almost,0.8,De-amplifier
colossal,0.8,Amplifier
especially,0.8,Amplifier
few,0.8,De-amplifier
high,0.8,Amplifier
more,0.8,Amplifier
much,0.8,Amplifier
no,-1,Negator
nor,-1,Negator
barely,0.8,De-amplifier
quite,0.8,Amplifier
serious,0.8,Amplifier
sure,0.8,Amplifier
very,0.8,Amplifier
but,0.8,Amplifier
enormously,0.8,Amplifier
extremely,0.8,Amplifier
greatly,0.8,Amplifier
little,0.8,De-amplifier
most,0.8,Amplifier
neither,-1,Negator
never,-1,Negator
don't,-1,Negator
not,-1,Negator
particular,0.8,Amplifier
significant,0.8,Amplifier
TRUE,0.8,Amplifier
certain,0.8,Amplifier